ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
1923:10.01.2022,02.01.2022,20,03.01.2022,12,03701658,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1924:10.01.2022,07.01.2022,23,08.01.2022,00,09200716,880,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1925:10.01.2022,07.01.2022,16,08.01.2022,11,03701556,885,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1926:10.01.2022,09.01.2022,17,09.01.2022,18,08100104,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1927:10.01.2022,09.01.2022,16,09.01.2022,18,01401048,850,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1928:10.01.2022,10.01.2022,14,10.01.2022,20,01100310,1094,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1929:10.01.2022,10.01.2022,13,10.01.2022,13,04501043,1980,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
1930:10.01.2022,10.01.2022,09,10.01.2022,14,02200211,514,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1931:10.01.2022,10.01.2022,06,10.01.2022,07,02500727,4845,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1932:10.01.2022,10.01.2022,08,10.01.2022,14,07200413,274,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1933:10.01.2022,10.01.2022,08,10.01.2022,15,03701556,1042,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1934:10.01.2022,10.01.2022,12,10.01.2022,13,02300315,1800,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1935:10.01.2022,10.01.2022,17,10.01.2022,17,01300836,1600,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
1936:10.01.2022,10.01.2022,18,10.01.2022,18,01400938,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1937:10.01.2022,07.01.2022,14,10.01.2022,07,07300618,729,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1938:10.01.2022,07.01.2022,17,10.01.2022,15,07200409,1600,Nein,Rennrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
1939:10.01.2022,09.01.2022,16,10.01.2022,07,10200526,399,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1940:10.01.2022,09.01.2022,23,10.01.2022,08,02400623,689,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1941:10.01.2022,09.01.2022,15,10.01.2022,19,03701554,999,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1942:10.01.2022,09.01.2022,20,10.01.2022,16,09301025,800,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
1943:10.01.2022,08.01.2022,19,10.01.2022,09,08100312,390,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
